CH1,CH2,CH3,CH4,CH5
-83.433,-68.421,-73.434,-42.923,-84.841
-77.163,-68.088,-73.259,-44.262,-84.681
-75.798,-68.43,-70.544,-44.259,-85.007
-75.966,-66.136,-68.942,-46.751,-84.648
-71.484,-73.445,-73.401,-47.252,-85.972
-74.584,-71.373,-69.854,-51.451,-84.591
-77.175,-69.707,-67.072,-49.421,-84.449
-80.349,-74.522,-67.927,-48.938,-84.207
-79.283,-73.31,-65.985,-43.226,-72.597
-81.444,-69.148,-71.854,-41.599,-82.745
-77.924,-72.337,-70.019,-41.277,-84.168
-80.344,-68.321,-69.375,-46.069,-82.977
-81.506,-69.31,-73.219,-42.973,-85.422
-79.051,-64.092,-71.841,-40.504,-85.078
-79.597,-68.573,-70.391,-41.568,-85.795
-77.641,-71.527,-70.382,-41.055,-85.78
-73.978,-63.243,-76.156,-39.585,-85.473
-74.437,-73.644,-77.297,-40.488,-86.49
-81.452,-72.482,-71.288,-40.836,-85.926
-76.18,-75.441,-71.613,-42.779,-84.78
-81.189,-66.2,-70.851,-44.856,-85.828
-78.164,-67.21,-69.18,-51.403,-86.154
-77.214,-65.883,-68.732,-44.547,-84.541
-77.372,-70.202,-71.942,-41.293,-83.764
-81.381,-71.04,-72.562,-43.301,-82.413
-76.821,-69.088,-72.399,-52.566,-86.646
-79.418,-73.199,-66.512,-47.611,-83.909
-81.13,-70.034,-67.455,-40.45,-85.588
-76.123,-68.831,-67.221,-45.833,-85.382
-77.835,-73.672,-68.86,-45.895,-85.877
-79.197,-73.572,-71.687,-40.991,-85.1
-79.868,-72.79,-68.329,-44.507,-85.882
-73.447,-65.427,-72.836,-41.743,-65.582
-79.061,-69.804,-68.605,-42.418,-85.494
-80.664,-67.15,-70.686,-40.124,-85.523
-76.476,-65.395,-71.779,-39.579,-85.252
-80.144,-68.592,-70.309,-40.2,-85.915
-74.91,-73.416,-69.067,-42.542,-85.854
-79.31,-63.741,-73.078,-53.919,-85.468
-78.158,-70.514,-70.491,-42.531,-84.394
-77.789,-73.017,-69.341,-48.492,-85.427
-75.748,-64.361,-68.881,-41.662,-86.277
-81.642,-69.15,-66.716,-42.798,-85.197
-77.211,-70.148,-71.361,-41.024,-85.965
-76.936,-65.81,-69.286,-40.937,-85.831
-78.566,-67.103,-66.867,-44.989,-84.947
-76.941,-65.305,-66.577,-43.349,-84.161
-74.668,-66.285,-67.481,-39.362,-85.749
-76.403,-65.215,-68.525,-49.041,-85.611
-74.311,-76.917,-76.502,-53.503,-85.894
-80.31,-75.027,-71.671,-54.312,-84.853
-74.264,-74.711,-74.98,-50.398,-85.619
-74.827,-74.538,-76.901,-51.602,-84.495
-77.228,-74.889,-73.599,-43.881,-85.023
-77.554,-70.828,-74.379,-46.939,-86.088
-75.392,-76.323,-74.661,-42.274,-85.179
-78.841,-71.877,-73.519,-43.095,-85.858
-78.11,-76.198,-77.382,-55.267,-85.949
-82.331,-68.164,-76.471,-43.939,-85.98
-75.767,-72.212,-73.151,-41.797,-84.934
-78.328,-76.394,-73.805,-43.856,-86.096
-79.072,-68.777,-76.253,-53.496,-85.155
-75.109,-77.139,-71.674,-42.466,-84.569
-74.984,-75.519,-71.263,-50.44,-84.559
-77.48,-77.562,-74.594,-56.043,-84.721
-81.117,-75.769,-74.411,-48.648,-85.042
-78.168,-76.849,-76.047,-50.45,-84.221
-81.95,-76.962,-75.692,-54.03,-84.895
-79.591,-72.413,-78.544,-54.014,-81.135
-79.504,-74.636,-74.29,-54.252,-69.913
-76.827,-73.239,-74.239,-51.627,-85.289
-79.746,-70.202,-73.24,-54.514,-85.113
-76.056,-71.095,-75.711,-52.461,-86.024
-76.605,-68.691,-76.317,-53.259,-85.641
-75.345,-67.897,-75.141,-49.555,-85.435
-80.066,-72.519,-76.108,-49.282,-84.354
-82.414,-68.137,-71.51,-53.668,-85.327
-74.902,-67.742,-77.027,-52.677,-85.918
-75.571,-68.484,-71.702,-50.17,-85.095
-76.813,-73.208,-75.146,-51.665,-85.204
-76.712,-76.494,-71.711,-50.975,-86.063
-76.353,-66.049,-73.138,-49.702,-85.287
-76.703,-67.847,-75.098,-52.094,-81.545
-73.244,-65.008,-74.947,-51.746,-85.212
-75.031,-70.411,-75.278,-51.071,-85.119
-76.529,-71.135,-75.265,-49.518,-71.703
-75.136,-66.48,-77.309,-48.066,-84.807
-73.841,-67.224,-74.212,-54.189,-73.611
-81.777,-65.921,-73.029,-51.304,-85.112
-77.497,-63.599,-74.394,-43.518,-84.927
-75.109,-64.203,-71.438,-55.373,-84.412
-76.573,-64.542,-73.221,-48.675,-83.124
-77.093,-63.423,-74.554,-43.156,-85.006
-80.885,-65.423,-76.182,-46.873,-86.086
-77.35,-65.317,-75.34,-49.189,-85.928
-74.85,-66.065,-70.413,-50.91,-85.114
-75.985,-67.614,-72.006,-45.49,-84.041
-75.075,-62.944,-76.53,-46.485,-83.684
-81.777,-67.7,-74.928,-47.902,-86.576
-76.775,-67.092,-73.674,-48.433,-84.275
-79.163,-68.204,-75.094,-54.221,-84.824
-73.834,-63.758,-79.105,-47.985,-85.639
-75.532,-62.799,-74.607,-48.985,-85.096
-75.032,-66.869,-76.064,-51.53,-83.669
-74.82,-66.227,-74.032,-50.351,-84.91
-77.869,-74.011,-75.052,-48.77,-84.855
-80.658,-66.673,-75.124,-47.617,-84.617
-76.386,-64.459,-71.512,-48.514,-83.376
-78.115,-65.22,-73.522,-53.428,-85.131
-73.651,-67.757,-74.991,-52.148,-84.854
-76.88,-66.879,-73.489,-56.649,-85.264
-75.245,-69.39,-74.097,-46.193,-84.057
-73.126,-66.685,-74.071,-44.554,-83.74
-78.945,-67.113,-70.752,-44.295,-83.031
-77.858,-73.176,-75.38,-48.127,-82.529
-73.153,-71.754,-76.762,-45.39,-83.753
-78.635,-73.087,-75.612,-46.148,-75.329
-78.444,-69.523,-74.54,-43.789,-86.193
-71.783,-67.895,-75.811,-42.692,-84.861
-72.492,-74.109,-75.314,-47.342,-86.222
-77.256,-67.089,-76.115,-47.569,-85.486
-77.397,-65.017,-74.547,-46.431,-84.792
-75.944,-69.218,-74.364,-55.405,-85.02
